30
0	2	4	6	4	6	6	8	10	8	10	12	10	12	14	12	14	16	14	16	18	16	18	20	18	20	22	20	22	24
2	0	2	4	2	4	4	6	8	6	8	10	8	10	12	10	12	14	12	14	16	14	16	18	16	18	20	18	20	22
4	2	0	2	4	2	6	4	6	8	6	8	10	8	10	12	10	12	14	12	14	16	14	16	18	16	18	20	18	20
6	4	2	0	6	4	8	6	4	10	8	6	12	10	8	14	12	10	16	14	12	18	16	14	20	18	16	22	20	18
4	2	4	6	0	2	2	4	6	4	6	8	6	8	10	8	10	12	10	12	14	12	14	16	14	16	18	16	18	20
6	4	2	4	2	0	4	2	4	6	4	6	8	6	8	10	8	10	12	10	12	14	12	14	16	14	16	18	16	18
6	4	6	8	2	4	0	2	4	2	4	6	4	6	8	6	8	10	8	10	12	10	12	14	12	14	16	14	16	18
8	6	4	6	4	2	2	0	2	4	2	4	6	4	6	8	6	8	10	8	10	12	10	12	14	12	14	16	14	16
10	8	6	4	6	4	4	2	0	6	4	2	8	6	4	10	8	6	12	10	8	14	12	10	16	14	12	18	16	14
8	6	8	10	4	6	2	4	6	0	2	4	2	4	6	4	6	8	6	8	10	8	10	12	10	12	14	12	14	16
10	8	6	8	6	4	4	2	4	2	0	2	4	2	4	6	4	6	8	6	8	10	8	10	12	10	12	14	12	14
12	10	8	6	8	6	6	4	2	4	2	0	6	4	2	8	6	4	10	8	6	12	10	8	14	12	10	16	14	12
10	8	10	12	6	8	4	6	8	2	4	6	0	2	4	2	4	6	4	6	8	6	8	10	8	10	12	10	12	14
12	10	8	10	8	6	6	4	6	4	2	4	2	0	2	4	2	4	6	4	6	8	6	8	10	8	10	12	10	12
14	12	10	8	10	8	8	6	4	6	4	2	4	2	0	6	4	2	8	6	4	10	8	6	12	10	8	14	12	10
12	10	12	14	8	10	6	8	10	4	6	8	2	4	6	0	2	4	2	4	6	4	6	8	6	8	10	8	10	12
14	12	10	12	10	8	8	6	8	6	4	6	4	2	4	2	0	2	4	2	4	6	4	6	8	6	8	10	8	10
16	14	12	10	12	10	10	8	6	8	6	4	6	4	2	4	2	0	6	4	2	8	6	4	10	8	6	12	10	8
14	12	14	16	10	12	8	10	12	6	8	10	4	6	8	2	4	6	0	2	4	2	4	6	4	6	8	6	8	10
16	14	12	14	12	10	10	8	10	8	6	8	6	4	6	4	2	4	2	0	2	4	2	4	6	4	6	8	6	8
18	16	14	12	14	12	12	10	8	10	8	6	8	6	4	6	4	2	4	2	0	6	4	2	8	6	4	10	8	6
16	14	16	18	12	14	10	12	14	8	10	12	6	8	10	4	6	8	2	4	6	0	2	4	2	4	6	4	6	8
18	16	14	16	14	12	12	10	12	10	8	10	8	6	8	6	4	6	4	2	4	2	0	2	4	2	4	6	4	6
20	18	16	14	16	14	14	12	10	12	10	8	10	8	6	8	6	4	6	4	2	4	2	0	6	4	2	8	6	4
18	16	18	20	14	16	12	14	16	10	12	14	8	10	12	6	8	10	4	6	8	2	4	6	0	2	4	2	4	6
20	18	16	18	16	14	14	12	14	12	10	12	10	8	10	8	6	8	6	4	6	4	2	4	2	0	2	4	2	4
22	20	18	16	18	16	16	14	12	14	12	10	12	10	8	10	8	6	8	6	4	6	4	2	4	2	0	6	4	2
20	18	20	22	16	18	14	16	18	12	14	16	10	12	14	8	10	12	6	8	10	4	6	8	2	4	6	0	2	4
22	20	18	20	18	16	16	14	16	14	12	14	12	10	12	10	8	10	8	6	8	6	4	6	4	2	4	2	0	2
24	22	20	18	20	18	18	16	14	16	14	12	14	12	10	12	10	8	10	8	6	8	6	4	6	4	2	4	2	0
